timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB]
2022/04/17 14:57:49.664, 0, 0, 0, 11019
2022/04/17 14:57:49.865, 0, 0, 0, 11019
2022/04/17 14:57:50.065, 0, 0, 0, 11019
2022/04/17 14:57:50.266, 0, 0, 0, 11019
2022/04/17 14:57:50.467, 0, 0, 0, 11019
2022/04/17 14:57:50.667, 0, 0, 0, 11019
2022/04/17 14:57:50.868, 0, 0, 0, 11019
2022/04/17 14:57:51.068, 0, 0, 15, 11004
2022/04/17 14:57:51.270, 0, 0, 234, 10785
2022/04/17 14:57:51.470, 1, 0, 300, 10719
2022/04/17 14:57:51.671, 1, 0, 384, 10635
2022/04/17 14:57:51.872, 1, 0, 691, 10328
2022/04/17 14:57:52.072, 1, 0, 841, 10178
2022/04/17 14:57:52.273, 1, 0, 993, 10026
2022/04/17 14:57:52.474, 10, 0, 1127, 9892
2022/04/17 14:57:52.674, 10, 0, 1255, 9764
2022/04/17 14:57:52.875, 10, 0, 1566, 9453
2022/04/17 14:57:53.076, 10, 0, 1812, 9207
2022/04/17 14:57:53.276, 10, 0, 2030, 8989
2022/04/17 14:57:53.477, 14, 0, 2190, 8829
2022/04/17 14:57:53.677, 14, 0, 2438, 8581
2022/04/17 14:57:53.878, 14, 0, 2819, 8200
2022/04/17 14:57:54.079, 14, 0, 3111, 7908
2022/04/17 14:57:54.279, 14, 0, 3447, 7572
2022/04/17 14:57:54.480, 21, 0, 3621, 7398
2022/04/17 14:57:54.681, 21, 0, 3927, 7092
2022/04/17 14:57:54.881, 21, 0, 4402, 6617
2022/04/17 14:57:55.082, 21, 0, 4628, 6391
2022/04/17 14:57:55.283, 21, 0, 5108, 5911
2022/04/17 14:57:55.483, 18, 0, 5302, 5717
2022/04/17 14:57:55.684, 18, 0, 5550, 5469
2022/04/17 14:57:55.885, 18, 0, 5814, 5205
2022/04/17 14:57:56.086, 18, 0, 6379, 4640
2022/04/17 14:57:56.286, 18, 0, 6793, 4226
2022/04/17 14:57:56.487, 23, 1, 7293, 3726
